customer_id,tenure_months,monthly_spend,late_deliveries_90d,support_tickets_90d,purchases_90d,segment,churned
CL-00531,12,180722.0,6,4,17,frecuente,1
CL-00532,25,171650.0,1,3,13,ocasional,0
CL-00533,72,127539.0,0,8,5,alto_valor,0
CL-00534,61,82750.0,1,8,1,ocasional,0
CL-00535,44,310541.0,6,4,10,frecuente,0
CL-00536,40,173758.0,3,7,10,ocasional,1
CL-00537,14,172839.0,3,7,10,alto_valor,0
CL-00538,49,229791.0,1,3,17,alto_valor,0
CL-00539,20,188851.0,0,3,17,frecuente,0
CL-00540,8,30000.0,0,5,5,ocasional,1
CL-00541,40,341109.0,1,2,2,frecuente,0
CL-00542,25,256269.0,1,1,4,frecuente,0
CL-00543,27,162430.0,7,9,13,frecuente,1
CL-00544,23,242713.0,3,3,10,ocasional,1
CL-00545,46,166994.0,2,6,6,frecuente,0
CL-00546,34,118425.0,4,9,16,alto_valor,1
CL-00547,24,169897.0,7,3,4,frecuente,1
CL-00548,38,256574.0,1,5,1,frecuente,0
CL-00549,5,326273.0,6,0,4,frecuente,0
CL-00550,72,110494.0,2,2,12,ocasional,0
CL-00551,17,142875.0,0,9,3,alto_valor,1
CL-00552,9,120645.0,3,1,15,frecuente,0
CL-00553,63,155309.0,2,3,3,frecuente,0
CL-00554,66,213560.0,0,9,10,ocasional,0
CL-00555,30,248586.0,2,6,7,frecuente,1
CL-00556,16,180215.0,7,9,7,ocasional,1
CL-00557,34,116482.0,3,0,7,frecuente,0
CL-00558,56,227450.0,3,2,6,ocasional,1
CL-00559,5,202664.0,6,5,5,frecuente,1
CL-00560,67,180011.0,6,5,1,ocasional,1
CL-00561,47,108822.0,4,6,17,alto_valor,0
CL-00562,13,109325.0,1,0,7,ocasional,0
CL-00563,7,48332.0,1,0,6,ocasional,1
CL-00564,54,30000.0,7,9,9,ocasional,1
CL-00565,43,269644.0,1,1,0,ocasional,0
CL-00566,64,134057.0,6,7,17,frecuente,0
CL-00567,50,175012.0,2,2,2,ocasional,1
CL-00568,56,231882.0,1,1,16,frecuente,0
CL-00569,14,261246.0,4,8,10,frecuente,1
CL-00570,20,120542.0,4,2,5,ocasional,0
CL-00571,40,117051.0,5,6,4,frecuente,0
CL-00572,62,154289.0,6,5,13,ocasional,0
CL-00573,53,146179.0,3,1,5,frecuente,0
CL-00574,43,189137.0,1,2,9,frecuente,0
CL-00575,38,191383.0,4,0,5,ocasional,0
CL-00576,21,233408.0,7,4,8,ocasional,1
CL-00577,27,217533.0,3,6,13,frecuente,0
CL-00578,40,213324.0,4,8,15,alto_valor,0
CL-00579,34,30000.0,6,1,4,frecuente,1
CL-00580,59,152675.0,7,0,17,alto_valor,0
CL-00581,3,174449.0,1,2,17,ocasional,0
CL-00582,14,174866.0,0,4,3,frecuente,0
CL-00583,51,323330.0,2,4,17,alto_valor,0
CL-00584,70,227099.0,5,8,12,ocasional,0
CL-00585,28,63653.0,5,5,11,frecuente,0
CL-00586,62,249627.0,4,0,11,ocasional,0
CL-00587,35,310487.0,2,3,9,ocasional,0
CL-00588,72,385526.0,4,1,14,ocasional,0
CL-00589,57,235025.0,0,8,5,frecuente,0
CL-00590,12,262425.0,7,1,2,ocasional,1
CL-00591,28,231058.0,2,6,12,alto_valor,0
CL-00592,56,311535.0,5,3,16,ocasional,0
CL-00593,58,32281.0,3,1,14,frecuente,0
CL-00594,62,275043.0,4,7,5,alto_valor,0
CL-00595,13,50155.0,0,9,13,frecuente,1
CL-00596,38,191623.0,7,6,16,alto_valor,0
CL-00597,4,353043.0,2,9,7,frecuente,1
CL-00598,35,188569.0,1,4,5,ocasional,0
CL-00599,69,307504.0,5,1,17,ocasional,0
CL-00600,3,155121.0,2,4,2,frecuente,1
CL-00601,51,240501.0,1,6,8,frecuente,0
CL-00602,3,121766.0,0,3,7,ocasional,1
CL-00603,72,140385.0,6,3,9,ocasional,0
CL-00604,32,76220.0,3,0,14,alto_valor,0
CL-00605,63,250307.0,5,4,10,frecuente,0
CL-00606,1,248294.0,5,4,17,frecuente,1
CL-00607,15,133876.0,1,2,2,frecuente,0
CL-00608,39,180369.0,7,9,5,frecuente,1
CL-00609,51,257117.0,6,1,1,alto_valor,0
CL-00610,47,185308.0,2,0,17,alto_valor,0
CL-00611,56,46013.0,7,5,5,frecuente,0
CL-00612,56,276646.0,1,1,10,frecuente,0
CL-00613,7,94994.0,4,0,7,ocasional,1
CL-00614,38,207614.0,5,8,16,ocasional,0
CL-00615,22,79889.0,5,1,10,frecuente,0
CL-00616,63,80798.0,1,9,14,frecuente,0
CL-00617,45,156251.0,5,0,7,alto_valor,0
CL-00618,10,83456.0,2,9,13,frecuente,1
CL-00619,54,161000.0,1,7,11,ocasional,0
CL-00620,71,248237.0,6,0,7,frecuente,0
CL-00621,58,143360.0,7,3,15,frecuente,0
CL-00622,35,154469.0,4,1,12,alto_valor,0
CL-00623,69,136872.0,0,4,15,alto_valor,0
CL-00624,14,176459.0,7,5,3,alto_valor,1
CL-00625,37,237735.0,3,0,11,frecuente,0
CL-00626,38,165002.0,0,6,9,alto_valor,0
CL-00627,10,243666.0,3,9,11,ocasional,1
CL-00628,59,187390.0,7,0,7,alto_valor,0
CL-00629,56,219448.0,5,9,8,frecuente,0
CL-00630,11,165666.0,7,5,10,ocasional,1
CL-00631,5,242246.0,4,4,11,alto_valor,0
CL-00632,51,41167.0,3,5,12,ocasional,0
CL-00633,19,244384.0,0,7,5,frecuente,0
CL-00634,5,185621.0,0,0,8,ocasional,0
CL-00635,44,203784.0,0,5,9,frecuente,0
CL-00636,51,387531.0,4,5,10,frecuente,0
CL-00637,2,182351.0,2,2,15,frecuente,0
CL-00638,28,159443.0,7,2,13,ocasional,1
CL-00639,4,122947.0,1,4,12,ocasional,0
CL-00640,70,171283.0,1,4,2,frecuente,0
CL-00641,9,104924.0,2,2,0,alto_valor,0
CL-00642,33,203120.0,1,6,6,frecuente,0
CL-00643,17,100838.0,2,2,6,ocasional,1
CL-00644,33,125300.0,6,5,7,ocasional,1
CL-00645,33,74545.0,0,4,17,ocasional,0
CL-00646,45,117418.0,4,3,14,ocasional,0
CL-00647,51,189153.0,5,2,3,frecuente,1
CL-00648,41,235577.0,7,9,3,frecuente,1
CL-00649,24,181774.0,1,5,0,frecuente,1
CL-00650,39,207000.0,2,2,16,ocasional,0
CL-00651,30,248781.0,5,1,11,frecuente,0
CL-00652,23,355777.0,7,5,16,ocasional,1
CL-00653,70,172156.0,7,6,13,frecuente,0
CL-00654,40,84876.0,2,5,9,frecuente,0
CL-00655,9,120070.0,3,5,17,ocasional,1
CL-00656,58,117484.0,4,0,12,frecuente,0
CL-00657,70,248552.0,3,1,17,frecuente,0
CL-00658,4,213060.0,3,1,4,frecuente,1
CL-00659,46,254659.0,4,9,5,frecuente,0
CL-00660,3,209982.0,2,1,0,frecuente,0
CL-00661,63,165225.0,1,2,10,ocasional,0
CL-00662,64,268154.0,1,9,2,frecuente,0
CL-00663,66,204083.0,6,0,7,frecuente,0
CL-00664,51,186498.0,0,9,6,ocasional,1
CL-00665,14,229808.0,1,5,1,ocasional,1
CL-00666,70,118138.0,4,9,7,ocasional,1
CL-00667,12,267536.0,7,3,10,alto_valor,0
CL-00668,30,111878.0,5,2,0,frecuente,0
CL-00669,64,212173.0,4,6,10,frecuente,0
CL-00670,7,206600.0,3,4,16,frecuente,0
CL-00671,41,278306.0,0,2,14,alto_valor,0
CL-00672,2,184664.0,6,0,17,frecuente,0
CL-00673,65,284700.0,7,0,0,frecuente,0
CL-00674,61,195228.0,6,3,0,alto_valor,1
CL-00675,24,102020.0,5,5,0,alto_valor,1
CL-00676,13,309301.0,6,8,11,frecuente,1
CL-00677,33,257163.0,4,9,4,ocasional,1
CL-00678,23,361602.0,5,9,3,frecuente,1
CL-00679,72,259967.0,1,3,3,frecuente,0
CL-00680,37,158323.0,7,3,3,alto_valor,1
CL-00681,39,84038.0,2,4,5,frecuente,0
CL-00682,39,278358.0,6,0,2,frecuente,0
CL-00683,2,135835.0,7,8,14,frecuente,1
CL-00684,15,231597.0,3,2,12,ocasional,0
CL-00685,69,251978.0,0,0,16,ocasional,0
CL-00686,32,275863.0,3,0,12,frecuente,0
CL-00687,12,275987.0,3,9,2,frecuente,0
CL-00688,63,316139.0,4,9,15,alto_valor,0
CL-00689,61,195545.0,7,4,3,alto_valor,0
CL-00690,37,130011.0,5,9,3,ocasional,1
CL-00691,11,81117.0,7,1,4,alto_valor,1
CL-00692,13,160973.0,4,4,9,ocasional,1
CL-00693,72,133321.0,4,9,6,frecuente,0
CL-00694,19,77406.0,2,7,4,ocasional,1
CL-00695,23,111742.0,7,6,4,frecuente,1
CL-00696,37,261228.0,3,0,5,frecuente,0
CL-00697,55,229304.0,6,4,11,frecuente,0
CL-00698,28,281883.0,0,4,6,frecuente,0
CL-00699,30,129865.0,7,1,1,frecuente,1
CL-00700,64,110528.0,2,5,12,alto_valor,0
